id,dataset,label,medical_topic,word_count,sentence_count,avg_sentence_length,lexical_diversity,avg_word_length,punctuation_density
hc3_medicine_0_human_0,hc3_medicine,human,,43,6,7.166666666666667,0.9069767441860465,5.209302325581396,0.3023255813953488
hc3_medicine_0_ai_0,hc3_medicine,ai,,114,5,22.8,0.631578947368421,4.649122807017544,0.07894736842105263
hc3_medicine_1_human_0,hc3_medicine,human,,95,14,6.785714285714286,0.7368421052631579,4.189473684210526,0.21052631578947367
hc3_medicine_1_ai_0,hc3_medicine,ai,,127,5,25.4,0.5826771653543307,5.094488188976378,0.09448818897637795
hc3_medicine_2_human_0,hc3_medicine,human,,75,7,10.714285714285714,0.7866666666666666,4.626666666666667,0.14666666666666667
hc3_medicine_2_ai_0,hc3_medicine,ai,,99,5,19.8,0.6262626262626263,5.1313131313131315,0.10101010101010101
hc3_medicine_3_human_0,hc3_medicine,human,,19,4,4.75,0.8421052631578947,4.473684210526316,0.7368421052631579
hc3_medicine_3_ai_0,hc3_medicine,ai,,182,9,20.22222222222222,0.6098901098901099,4.65934065934066,0.11538461538461539
hc3_medicine_4_human_0,hc3_medicine,human,,117,14,8.357142857142858,0.7435897435897436,4.948717948717949,0.15384615384615385
hc3_medicine_4_ai_0,hc3_medicine,ai,,240,11,21.818181818181817,0.5333333333333333,4.875,0.18333333333333332
hc3_medicine_5_human_0,hc3_medicine,human,,98,5,19.6,0.7244897959183674,4.663265306122449,0.10204081632653061
hc3_medicine_5_ai_0,hc3_medicine,ai,,281,12,23.416666666666668,0.4306049822064057,4.97153024911032,0.1423487544483986
hc3_medicine_6_human_0,hc3_medicine,human,,82,6,13.666666666666666,0.7926829268292683,4.7560975609756095,0.17073170731707318
hc3_medicine_6_ai_0,hc3_medicine,ai,,281,15,18.733333333333334,0.47686832740213525,5.220640569395018,0.14590747330960854
hc3_medicine_7_human_0,hc3_medicine,human,,129,18,7.166666666666667,0.6976744186046512,4.953488372093023,0.2248062015503876
hc3_medicine_7_ai_0,hc3_medicine,ai,,178,9,19.77777777777778,0.4943820224719101,5.415730337078652,0.12921348314606743
hc3_medicine_8_human_0,hc3_medicine,human,,31,6,5.166666666666667,0.9354838709677419,4.741935483870968,0.25806451612903225
hc3_medicine_8_ai_0,hc3_medicine,ai,,230,9,25.555555555555557,0.4826086956521739,5.126086956521739,0.11739130434782609
